sample_id,year,lake,month,doy,site,lab_rep,tin_g,wet_g,dry_tin_g,ash_tin_g
C20-041-039-4-A,2020,Green Valley,February,39,4,A,1.0877,0.4095,1.1501,1.1426
C20-041-039-4-B,2020,Green Valley,February,39,4,B,1.0871,0.4097,1.1469,1.1393
C20-041-039-4-C,2020,Green Valley,February,39,4,C,1.0893,0.5092,1.1613,1.1531
C20-041-039-4-D,2020,Green Valley,February,39,4,D,1.0898,0.4655,1.1579,1.1493
C20-041-039-4-E,2020,Green Valley,February,39,4,E,1.1009,0.6292,1.1939,1.1827
C20-041-039-4-F,2020,Green Valley,February,39,4,F,1.102,0.7105,1.2093,1.1952
C20-041-039-10-A,2020,Green Valley,February,39,10,A,1.0781,0.832,1.3407,1.3218
C20-041-039-10-B,2020,Green Valley,February,39,10,B,1.0784,0.9501,1.3704,1.3485
C20-041-039-10-C,2020,Green Valley,February,39,10,C,1.0872,0.4609,1.2259,1.2164
C20-041-039-10-D,2020,Green Valley,February,39,10,D,1.0821,0.4,1.2026,1.1937
C20-041-039-10-E,2020,Green Valley,February,39,10,E,1.0768,0.498,1.2281,1.2155
C20-041-039-10-F,2020,Green Valley,February,39,10,F,1.0763,0.3618,1.1882,1.1796
C20-041-117-4-A,2020,Green Valley,April,117,4,A,1.0803,0.5355,1.1556,1.1425
C20-041-117-4-B,2020,Green Valley,April,117,4,B,1.0878,0.7472,1.1937,1.1799
C20-041-117-4-C,2020,Green Valley,April,117,4,C,1.0704,0.4838,1.136,1.1265
C20-041-117-10-A,2020,Green Valley,April,117,10,A,1.0794,0.5885,1.2115,1.2008
C20-041-117-10-B,2020,Green Valley,April,117,10,B,0.7856,0.6151,0.9128,0.9012
C20-041-117-10-C,2020,Green Valley,April,117,10,C,0.8073,0.7598,0.9776,0.9633
C20-041-117-1-A,2020,Green Valley,April,117,1,A,0.7892,0.5423,0.94,0.9248
C20-041-117-1-B,2020,Green Valley,April,117,1,B,0.7952,0.5072,0.9417,0.929
C20-041-117-1-C,2020,Green Valley,April,117,1,C,0.784,0.736,0.9917,0.9728
C20-041-181-4-A,2020,Green Valley,June,181,4,A,0.8003,0.4679,0.864,0.8554
C20-041-181-4-B,2020,Green Valley,June,181,4,B,0.8149,0.4122,0.8668,0.8614
C20-041-181-4-C,2020,Green Valley,June,181,4,C,0.7925,0.4134,0.8478,0.8399
C20-041-181-10-A,2020,Green Valley,June,181,10,A,0.7981,0.4918,0.9114,0.9003
C20-041-181-10-B,2020,Green Valley,June,181,10,B,0.813,0.4097,0.905,0.896
C20-041-181-10-C,2020,Green Valley,June,181,10,C,0.8128,0.4027,0.906,0.8971
C20-041-181-1-A,2020,Green Valley,June,181,1,A,0.7961,0.47,0.9284,0.916
C20-041-181-1-B,2020,Green Valley,June,181,1,B,0.7816,0.4364,0.9066,0.8949
C20-041-181-1-C,2020,Green Valley,June,181,1,C,0.7795,0.4601,0.9117,0.8993
C20-041-223-4-A,2020,Green Valley,August,223,4,A,0.8,0.4641,0.8599,0.8514
C20-041-223-4-B,2020,Green Valley,August,223,4,B,0.7906,0.4861,0.8528,0.844
C20-041-223-4-C,2020,Green Valley,August,223,4,C,0.8091,0.476,0.8694,0.8611
C20-041-223-10-A,2020,Green Valley,August,223,10,A,0.811,0.4807,0.9069,0.8971
C20-041-223-10-B,2020,Green Valley,August,223,10,B,0.8042,0.4253,0.8884,0.8808
C20-041-223-10-C,2020,Green Valley,August,223,10,C,0.7837,0.4156,0.8705,0.8624
C20-041-223-1-A,2020,Green Valley,August,223,1,A,0.7842,0.4508,0.9018,0.8907
C20-041-223-1-B,2020,Green Valley,August,223,1,B,0.7844,0.4555,0.9085,0.8982
C20-041-223-1-C,2020,Green Valley,August,223,1,C,0.8023,0.4178,0.9149,0.9046
C20-041-298-4-A,2020,Green Valley,October,298,4,A,0.8045,0.414,0.8593,0.8537
C20-041-298-4-B,2020,Green Valley,October,298,4,B,0.8016,0.4851,0.864,0.86
C20-041-298-4-C,2020,Green Valley,October,298,4,C,0.7985,0.5124,0.8673,0.8583
C20-041-298-10-A,2020,Green Valley,October,298,10,A,0.811,0.6088,0.9114,0.8982
C20-041-298-10-B,2020,Green Valley,October,298,10,B,0.7915,0.4658,0.8678,0.8629
C20-041-298-10-C,2020,Green Valley,October,298,10,C,0.7929,0.5575,0.8917,0.8814
C20-041-298-1-A,2020,Green Valley,October,298,1,A,0.814,0.4254,0.945,0.9331
C20-041-298-1-B,2020,Green Valley,October,298,1,B,0.8133,0.429,0.939,0.9362
C20-041-298-1-C,2020,Green Valley,October,298,1,C,0.8137,0.5451,0.9683,0.9603
C19-041-203-1-A,2019,Green Valley,July,203,1,A,1.086,0.4985,1.2067,1.1973
C19-041-203-1-B,2019,Green Valley,July,203,1,B,1.0829,0.5022,1.205,1.1972
C19-041-203-1-C,2019,Green Valley,July,203,1,C,1.0822,0.4973,1.2018,1.1936
C19-041-203-2-A,2019,Green Valley,July,203,2,A,1.074,0.4951,1.2068,1.1999
C19-041-203-2-B,2019,Green Valley,July,203,2,B,1.0822,0.4975,1.2179,1.2093
C19-041-203-2-C,2019,Green Valley,July,203,2,C,1.0682,0.4964,1.201,1.1935
C19-041-203-3-A,2019,Green Valley,July,203,3,A,1.0867,0.4987,1.1597,1.1543
C19-041-203-3-B,2019,Green Valley,July,203,3,B,1.1056,0.4988,1.179,1.1728
C19-041-203-3-C,2019,Green Valley,July,203,3,C,1.0923,0.4979,1.1667,1.1599
C19-041-203-4-A,2019,Green Valley,July,203,4,A,1.0713,0.498,1.1383,1.1327
C19-041-203-4-B,2019,Green Valley,July,203,4,B,1.0926,0.503,1.1584,1.1537
C19-041-203-4-C,2019,Green Valley,July,203,4,C,1.0763,0.4998,1.1442,1.1387
C19-041-203-5-A,2019,Green Valley,July,203,5,A,1.0863,0.4961,1.1673,1.1608
C19-041-203-5-B,2019,Green Valley,July,203,5,B,1.0771,0.4979,1.1596,1.1525
C19-041-203-5-C,2019,Green Valley,July,203,5,C,1.0743,0.4971,1.1564,1.1506
C19-041-203-6-A,2019,Green Valley,July,203,6,A,1.0729,0.4955,1.2171,1.2066
C19-041-203-6-B,2019,Green Valley,July,203,6,B,1.0863,0.4977,1.2416,1.2264
C19-041-203-6-C,2019,Green Valley,July,203,6,C,1.0842,0.4961,1.2289,1.2146
